FILL,183,35,15
FILL,175,36,8
FILL,198,36,3
FILL,173,37,2
FILL,201,37,1
FILL,170,38,3
FILL,201,38,4
FILL,165,39,5
FILL,173,39,2
FILL,198,39,3
FILL,205,39,6
FILL,158,40,3
FILL,164,40,1
FILL,211,40,4
FILL,157,41,1
FILL,161,41,4
FILL,170,41,5
FILL,215,41,2
FILL,218,41,3
FILL,154,42,1
FILL,157,42,1
FILL,198,42,7
FILL,217,42,1
FILL,221,42,2
FILL,152,43,9
FILL,215,43,3
FILL,223,43,1
FILL,150,44,2
FILL,165,44,5
FILL,175,44,8
FILL,211,44,4
FILL,218,44,3
FILL,221,44,1
FILL,222,44,1
FILL,148,45,2
FILL,161,45,4
FILL,205,45,6
FILL,143,46,5
FILL,150,46,2
FILL,170,46,5
FILL,215,46,3
FILL,232,46,3
FILL,140,47,3
FILL,148,47,2
FILL,218,47,14
FILL,235,47,6
FILL,241,47,3
FILL,138,48,2
FILL,150,48,2
FILL,211,48,4
FILL,244,48,1
FILL,245,48,1
FILL,246,48,1
FILL,136,49,2
FILL,148,49,2
FILL,161,49,9
FILL,198,49,7
FILL,215,49,3
FILL,232,49,3
FILL,244,49,1
FILL,134,50,2
FILL,138,50,5
FILL,150,50,2
FILL,183,50,15
FILL,241,50,1
FILL,133,51,1
FILL,136,51,2
FILL,143,51,7
FILL,170,51,5
FILL,205,51,6
FILL,131,52,5
FILL,150,52,11
FILL,175,52,8
FILL,211,52,7
FILL,232,52,3
FILL,129,53,2
FILL,136,53,2
FILL,235,53,7
FILL,128,54,1
FILL,242,54,3
FILL,246,54,2
FILL,126,55,5
FILL,136,55,7
FILL,232,55,3
FILL,245,55,1
FILL,248,55,7
FILL,124,56,2
FILL,170,56,5
FILL,198,56,7
FILL,245,56,3
FILL,255,56,3
FILL,123,57,1
FILL,131,57,5
FILL,205,57,6
FILL,242,57,3
FILL,258,57,1
FILL,122,58,4
FILL,143,58,7
FILL,161,58,9
FILL,232,58,3
FILL,258,58,1
FILL,121,59,1
FILL,211,59,7
FILL,245,59,3
FILL,118,60,4
FILL,126,60,5
FILL,175,60,8
FILL,235,60,10
FILL,255,60,2
FILL,117,61,1
FILL,170,61,5
FILL,218,61,17
FILL,257,61,5
FILL,263,61,9
FILL,116,62,2
FILL,122,62,4
FILL,131,62,12
FILL,245,62,12
FILL,262,62,1
FILL,272,62,2
FILL,115,63,1
FILL,150,63,11
FILL,198,63,13
FILL,262,63,1
FILL,274,63,1
FILL,114,64,8
FILL,262,64,1
FILL,272,64,4
FILL,113,65,1
FILL,126,65,5
FILL,143,65,7
FILL,183,65,15
FILL,262,65,1
FILL,276,65,1
FILL,112,66,2
FILL,122,66,4
FILL,170,66,5
FILL,211,66,7
FILL,257,66,6
FILL,276,66,1
FILL,110,67,2
FILL,161,67,9
FILL,112,68,2
FILL,175,68,8
FILL,272,68,4
FILL,108,69,4
FILL,276,69,2
FILL,112,70,2
FILL,122,70,9
FILL,235,70,10
FILL,263,70,9
FILL,278,70,5
FILL,290,70,1
FILL,107,71,1
FILL,170,71,5
FILL,276,71,2
FILL,283,71,2
FILL,106,72,2
FILL,112,72,10
FILL,143,72,7
FILL,257,72,6
FILL,272,72,4
FILL,299,72,4
FILL,105,73,1
FILL,108,73,4
FILL,211,73,7
FILL,276,73,2
FILL,283,73,2
FILL,303,73,2
FILL,104,74,4
FILL,131,74,12
FILL,150,74,11
FILL,245,74,12
FILL,285,74,3
FILL,288,74,3
FILL,291,74,2
FILL,293,74,3
FILL,296,74,3
FILL,305,74,2
FILL,102,75,2
FILL,276,75,9
FILL,303,75,2
FILL,307,75,2
FILL,161,76,22
FILL,198,76,13
